player_id,name,age,nationality,team,league,position,specific_position,injured,height_cm,weight_kg,stamina,matches_played,minutes_played,yellow_cards,red_cards,goals,assists,shots_per_game,key_passes_per_game,dribbles_per_game,tackles_per_game,interceptions_per_game,clearances_per_game,aerial_duels_won_pct,fouls_per_game,pass_accuracy_pct,passes_per_game,long_balls_per_game,crosses_per_game,saves_per_game,clean_sheets,goals_conceded,penalty_save_pct
1,Enzo Díaz,18,Francesa,Freiburg,Bundesliga,Delantero,DC,No,178,83,68,8,536,9,1,6,8,2.91,0.62,1.37,0.6,0.84,0.39,45.63,0.5,83.98,13.44,0.88,0.58,0.0,0.0,0.0,0.0
2,Santiago Sánchez,28,Francesa,Barcelona,LaLiga,Delantero,DC,No,181,69,100,11,847,7,0,7,7,2.45,1.14,1.28,0.02,0.58,0.88,40.64,0.22,67.82,23.39,0.01,1.98,0.0,0.0,0.0,0.0
3,Miguel Ortega,24,Francesa,Paris SG,Ligue 1,Delantero,ED,No,185,77,90,13,1157,8,0,11,10,2.72,1.89,1.18,0.73,0.17,0.57,34.37,0.44,69.31,20.22,0.7,2.99,0.0,0.0,0.0,0.0
4,Alejandro González,20,Francesa,Freiburg,Bundesliga,Portero,POR,No,190,90,92,6,426,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.59,18.81,2.51,0.0,2.45,14.32,16.74,42.59
5,Miguel Ortega,23,Francesa,Borussia Mönchengladbach,Bundesliga,Delantero,EI,No,177,75,87,12,1068,4,1,9,10,1.44,0.46,1.73,0.67,0.33,0.34,36.08,0.14,65.06,16.24,0.85,0.04,0.0,0.0,0.0,0.0
6,Alejandro Díaz,25,Francesa,Marseille,Ligue 1,Defensa,DFC,No,187,77,55,13,1157,6,2,3,4,0.32,0.04,0.02,2.86,1.85,2.19,81.32,0.31,68.16,28.4,1.32,0.47,0.0,0.0,0.0,0.0
7,Marco López,23,Francesa,Marseille,Ligue 1,Delantero,EI,No,183,85,92,8,480,0,3,14,2,2.84,1.77,1.31,0.69,0.55,0.82,40.17,0.77,70.63,19.5,0.51,1.15,0.0,0.0,0.0,0.0
8,Gabriel Ortega,28,Francesa,Rennes,Ligue 1,Defensa,LI,No,182,90,83,36,2916,4,1,3,4,0.44,0.27,0.52,2.66,0.45,4.92,88.17,1.05,78.72,26.79,1.86,0.07,0.0,0.0,0.0,0.0
9,Rafael Vega,31,Francesa,Manchester City,Premier,Delantero,DC,No,179,74,83,6,426,5,3,16,7,1.29,1.21,1.58,0.4,0.16,0.89,25.86,0.17,60.69,27.37,0.99,2.58,0.0,0.0,0.0,0.0
10,Fernando Ruiz,34,Francesa,Barcelona,LaLiga,Delantero,DC,No,171,83,70,0,0,9,3,9,5,1.48,1.73,1.75,0.41,0.34,0.49,28.08,0.06,66.2,13.09,0.5,0.99,0.0,0.0,0.0,0.0
11,Miguel Pérez,35,Francesa,Villarreal,LaLiga,Mediocentro,MC,No,176,69,95,37,2812,2,3,5,0,1.06,0.32,1.99,0.01,0.87,0.82,27.2,1.35,73.96,40.95,1.31,0.18,0.0,0.0,0.0,0.0
12,Juan López,25,Francesa,Atalanta,Serie A,Defensa,LD,No,195,89,93,2,138,0,3,1,2,0.35,0.33,0.28,0.32,2.92,2.5,75.55,0.45,75.1,34.55,1.1,0.78,0.0,0.0,0.0,0.0
13,Alejandro Fernández,19,Francesa,AC Milan,Serie A,Delantero,EI,No,171,82,96,0,0,6,3,8,7,1.51,1.58,2.71,0.66,0.06,0.39,45.67,0.28,77.16,29.67,0.22,0.89,0.0,0.0,0.0,0.0
14,Alejandro Suárez,23,Francesa,Freiburg,Bundesliga,Mediocentro,MCO,No,183,70,56,4,256,9,3,3,6,1.01,0.77,0.97,1.58,0.59,0.74,38.07,1.62,72.5,38.54,0.82,0.3,0.0,0.0,0.0,0.0
15,Lucas Vega,26,Francesa,Borussia Dortmund,Bundesliga,Delantero,DC,No,182,71,93,13,793,2,2,18,2,2.65,0.81,2.56,0.76,0.93,0.48,42.94,0.24,84.48,28.58,0.23,0.01,0.0,0.0,0.0,0.0
16,Nicolás Cruz,29,Francesa,Atlético Madrid,LaLiga,Defensa,DFC,No,177,80,90,1,86,3,0,0,1,0.43,0.19,0.16,2.46,0.01,0.26,83.39,0.09,62.68,24.0,2.53,0.52,0.0,0.0,0.0,0.0
17,Andrés Ramos,24,Francesa,Newcastle,Premier,Defensa,LI,No,193,74,69,17,1054,7,1,1,3,0.02,0.42,0.59,2.72,2.77,2.03,54.75,0.91,82.66,16.79,2.31,0.5,0.0,0.0,0.0,0.0
18,Daniel Vega,22,Francesa,Napoli,Serie A,Portero,POR,No,190,85,57,33,2871,9,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.87,9.04,1.68,0.0,1.91,13.81,14.37,74.4
19,Enzo Castro,18,Francesa,AC Milan,Serie A,Portero,POR,No,195,90,63,8,720,7,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.57,7.79,0.26,0.0,2.33,8.39,24.35,4.25
20,Daniel Vega,23,Francesa,Juventus,Serie A,Mediocentro,MC,No,180,75,71,25,1700,3,3,4,3,1.33,1.31,1.56,1.93,1.55,0.2,31.49,1.72,71.88,59.3,0.83,0.95,0.0,0.0,0.0,0.0
21,Santiago Morales,20,Francesa,Roma,Serie A,Defensa,LD,No,186,89,81,1,60,0,1,2,1,0.34,0.17,0.8,2.93,0.28,4.67,86.74,1.16,69.35,15.1,2.83,0.42,0.0,0.0,0.0,0.0
